岗位名称,公司,规模,公司领域,学历要求,经验要求,技能需求,福利待遇,薪资,薪资原文,省,市,区,商圈,经度,纬度,岗位链接,jobId
游戏测试实习生,乐信圣文,500-999人,游戏,本科,,[],"['带薪年假', '员工旅游', '生日福利', '团建聚餐', '定期体检', '节日福利', '五险一金', '零食下午茶', '年终奖', '补充医疗保险']",,230-240元/天,浙江,杭州,西湖区,西溪,120.1284604689956,30.274726172258415,https://www.zhipin.com/job_detail/6088bcf8ce0f6d630nJ63di7EVRV.html,6088bcf8ce0f6d630nJ63di7EVRV
游戏评测主管,杭州某中型游戏研发与发行公司,500-999人,游戏,本科,5-10年,[],"['包吃', '餐补', '定期体检', '年终奖', '生日福利', '绩效奖金', '保底工资', '零食下午茶', '带薪年假', '五险一金', '全勤奖', '员工旅游', '交通补助', '节假日加班费', '底薪加提成', '补充医疗保险', '节日福利', '团建聚餐']",21500.0,18-25K,浙江,杭州,,,120.02879092591827,30.293113518529854,https://www.zhipin.com/job_detail/28c47e92b9f78de20nd-39-7FFNV.html,28c47e92b9f78de20nd-39-7FFNV
游戏测试实习生,闲米科技,20-99人,游戏,大专,,[],"['节日福利', '带薪年假', '股票期权', '员工旅游', '五险一金', '年终奖', '定期体检', '零食下午茶']",,150-180元/天,浙江,杭州,西湖区,西溪,120.07481634921287,30.288690369608215,https://www.zhipin.com/job_detail/3cd751c912f1f2c20nJ72di_E1tU.html,3cd751c912f1f2c20nJ72di_E1tU
游戏测试专员,甜甜龙小妹,20-99人,电子商务,大专,1-3年,[],"['全勤奖', '加班补助', '五险一金', '团建聚餐', '年终奖', '零食下午茶', '员工旅游', '节日福利', '缴纳社保']",7500.0,6-9K,浙江,杭州,,,120.33174003590348,30.304771616797282,https://www.zhipin.com/job_detail/463c51a1504c6bd50nB_0t26E1FZ.html,463c51a1504c6bd50nB_0t26E1FZ
游戏测试工程师,某大型游戏上市公司,10000人以上,游戏,本科,3-5年,"['开放世界', '3A', '游戏测试']","['节日福利', '免费班车', '团建聚餐', '员工旅游', '零食下午茶', '餐补', '带薪年假', '定期体检', '年终奖', '股票期权', '交通补助', '包吃', '补充医疗保险', '五险一金']",30000.0,20-40K·16薪,浙江,杭州,,,120.190941,30.18635,https://www.zhipin.com/job_detail/63a7ca56090134c90nBz39i1GVZS.html,63a7ca56090134c90nBz39i1GVZS
测试工程师  杭州·游戏,盛和网络,1000-9999人,游戏,大专,经验不限,"['动作游戏', '服务端测试', '页游测试', '角色扮演游戏', 'Linux', '性能测试', '功能测试', '冒险游戏']","['五险一金', '加班补助', '全勤奖', '年终奖', '节日福利']",8000.0,6-10K,浙江,杭州,滨江区,长河,120.234662,30.224217,https://www.zhipin.com/job_detail/8ce581518f9963ce1nN_3di1EVtR.html,8ce581518f9963ce1nN_3di1EVtR
游戏-3D场景建模-无需测试（非外派）,深度涂鸦工作室,20-99人,游戏,学历不限,1-3年,"['周末双休', 'ZBrush', '高模雕刻经验', '有游戏场景经验', '场景建模', '写实', '五险一金', '次世代经验', '1-3年游戏场景经验', '无需外派', '二次元', 'SP', 'MAYA']","['年终奖', '五险一金']",16500.0,12-21K,浙江,杭州,滨江区,长河,120.203853,30.200758,https://www.zhipin.com/job_detail/29b9a40c587bbac70nF_3dm7GFZT.html,29b9a40c587bbac70nF_3dm7GFZT
游戏测试工程师(上海七日世界),网易杭州,10000人以上,互联网,本科,1-3年,[],"['年终奖', '带薪年假', '零食下午茶', '定期体检', '补充医疗保险', '五险一金', '免费班车', '餐补', '加班补助', '住房补贴', '节日福利']",20000.0,15-25K,浙江,杭州,,,120.1906815,30.1876411,https://www.zhipin.com/job_detail/250a25ca3b9f341a0nJ73tq0GVZX.html,250a25ca3b9f341a0nJ73tq0GVZX
游戏测试,浮点科技,100-499人,人力资源服务,本科,1-3年,"['丰富的游戏经验', '手游测试经验', '计算机相关专业']",[],12500.0,10-15K,浙江,杭州,滨江区,长河,120.222137,30.201318,https://www.zhipin.com/job_detail/02173a9c343d3f100nV_3tS8FFtZ.html,02173a9c343d3f100nV_3tS8FFtZ
游戏测试（SLG游戏）,微派,1000-9999人,互联网,本科,1-3年,"['手游测试经验', '丰富的游戏经验']","['年终奖', '定期体检', '意外险', '交通补助', '节假日加班费', '员工旅游', '股票期权', '加班补助', '打车报销', '带薪年假', '节日福利', '2个月聚餐', '生日福利', '补充医疗保险', '弹性工作', '半年度团建', '团建聚餐', '年终奖丰厚', '五险一金', '互联网文化']",12500.0,10-15K·14薪,浙江,杭州,西湖区,西溪,120.127984,30.275405,https://www.zhipin.com/job_detail/18a62738ab4553440nB_3Nm5FFBZ.html,18a62738ab4553440nB_3Nm5FFBZ
