岗位名称,公司,规模,公司领域,学历要求,经验要求,技能需求,福利待遇,薪资,薪资原文,省,市,区,商圈,经度,纬度,岗位链接,jobId
u3d游戏开发工程师,宇彬科技,20-99人,游戏,本科,5-10年,"['Unity3D', 'Unity3D开发经验', '手游开发经验', '3D游戏客户端开发经验', '软件开发经验', '计算机/软件工程相关专业']","['零食下午茶', '有无线网', '底薪加提成', '带薪年假', '法定节假日三薪', '五险一金', '生日福利', '年终奖', '员工旅游', '保底工资', '节日福利', '加班补助', '绩效奖金', '股票期权', '团建聚餐']",25000.0,20-30K,广东,广州,天河区,棠下,113.373838,23.12402,https://www.zhipin.com/job_detail/1cd00a6d6c1256e80nBz0ty6ElRT.html,1cd00a6d6c1256e80nBz0ty6ElRT
游戏策划负责人,深圳某中型互联网支付科技平台上市公司,500-999人,互联网,本科,5-10年,[],"['带薪年假', '年终奖', '五险一金', '员工旅游', '零食下午茶', '定期体检', '补充医疗保险']",37500.0,25-50K·14薪,广东,广州,,,113.3612,23.12468,https://www.zhipin.com/job_detail/7609424ef5203c6d0nd42d26ElJZ.html,7609424ef5203c6d0nd42d26ElJZ
海外高级游戏运营,漫边网络,100-499人,游戏,大专,5-10年,"['卡牌/战棋', '手游', '海外游戏运营', '资深游戏玩家', '英语可作为工作语言', '海外游戏投放', '渠道推广经验', '数据分析能力', '产品调优', 'mmo，卡牌，slg']","['五险一金', '绩效奖金', '包吃', '团建聚餐', '全勤奖', '定期体检', '员工旅游', '带薪年假', '年终奖', '零食下午茶', '调薪', '节日福利', '生日福利']",16500.0,13-20K,广东,广州,天河区,棠下,113.38582010781867,23.125726123136083,https://www.zhipin.com/job_detail/6f1436f42085265a0nV739u7GFBR.html,6f1436f42085265a0nV739u7GFBR
资深游戏策划,某500强上市公司,1000-9999人,游戏,本科,5-10年,['游戏策划'],"['带薪年假', '餐补', '年终奖', '交通补助', '团建聚餐', '加班补助', '通讯补贴', '股票期权', '住房补贴', '员工旅游', '节日福利', '零食下午茶', '生日福利', '补充医疗保险', '五险一金', '定期体检', '意外险']",37500.0,25-50K·14薪,广东,广州,,,113.383917,22.93756,https://www.zhipin.com/job_detail/6dad029bafaff4e71HB92tW1E1BS.html,6dad029bafaff4e71HB92tW1E1BS
游戏关卡策划,金山西山居,1000-9999人,游戏,本科,3-5年,[],"['补充医疗保险', '绩效奖金', '餐补', '团建聚餐', '五险一金', '海景办公', '带薪年假', '岗位晋升', '意外险', '节日福利', '生日福利', '免费班车', '技能培训', '定期体检', '年终奖', '零食下午茶', '员工旅游']",30000.0,25-35K·14薪,广东,广州,天河区,棠下,113.34637027286483,23.143949027280158,https://www.zhipin.com/job_detail/08ed29ea56cd97a20nJ70tm_F1JT.html,08ed29ea56cd97a20nJ70tm_F1JT
游戏动效师,德力兄弟科技有限公司,20-99人,社交网络,大专,3-5年,"['卡牌/战棋', 'AE', 'Spine', 'U3D', '欧美现代', '俯瞰', '棋牌', '半写实', '写实']","['五险一金', '定期体检', '零食下午茶', '节日福利', '员工旅游', '股票期权', '年终奖', '带薪年假']",16500.0,13-20K,广东,广州,天河区,棠下,113.384621,23.118924,https://www.zhipin.com/job_detail/6eaded82fd8e5bcb03Z42925FVVQ.html,6eaded82fd8e5bcb03Z42925FVVQ
资深游戏策划,某大型游戏公司,1000-9999人,游戏,本科,5-10年,"['3ds MAX', '卡牌/战棋', '休闲益智', '第一人称', 'SLG游戏', '怪物数值设计', '经济系统搭建', '战斗系统设计', '横版', 'Unity', '模拟经营', 'RPG游戏', '第三人称']","['五险一金', '包吃', '全勤奖', '节日福利', '定期体检', '零食下午茶', '餐补', '带薪年假', '年终奖']",40000.0,30-50K·13薪,广东,广州,,,113.417483,23.102054,https://www.zhipin.com/job_detail/40d3446e560886c60nB62Nm8GVBU.html,40d3446e560886c60nB62Nm8GVBU
高级素材策划 (海外休闲游戏),多比特,1000-9999人,游戏,本科,5-10年,['海外休闲'],"['加班补助', '生日福利', '年终奖', '带薪年假', '五险一金', '定期团建活动', '定期体检', '交通补助', '健身房', '团建聚餐', '生日福利', '零食下午茶', '员工旅游', '节日福利', '补充医疗保险']",30000.0,20-40K·16薪,广东,广州,海珠区,琶洲,113.34228113794097,23.10519647229218,https://www.zhipin.com/job_detail/0ae9178ff060cf7a0nF52NS5E1ZQ.html,0ae9178ff060cf7a0nF52NS5E1ZQ
资深游戏策划（主策划）,行舟智娱,20-99人,互联网,本科,5-10年,"['经济系统搭建', '怪物数值设计', '技能系统设计', '第一人称', '卡牌/战棋', '模拟经营']","['包吃', '带薪年假', '定期体检', '五险一金']",35000.0,25-45K·13薪,广东,广州,天河区,棠下,113.38589362598424,23.118884663881456,https://www.zhipin.com/job_detail/f31be94fcfe19e2a0nJ529W4ElVW.html,f31be94fcfe19e2a0nJ529W4ElVW
游戏主策划,某大型游戏公司,100-499人,游戏,大专,5-10年,"['SLG游戏', '游戏主策划经验']","['包吃', '定期体检', '节假日加班费', '绩效奖金', '带薪年假', '全勤奖', '年终奖', '员工旅游', '零食下午茶', '生日福利', '五险一金', '保底工资', '节日福利', '团建聚餐']",35000.0,25-45K,广东,广州,,,113.373066,23.125706,https://www.zhipin.com/job_detail/5c5af63fb5dd541a1H1_2t26ElRS.html,5c5af63fb5dd541a1H1_2t26ElRS
